Product,Horas_Operadas,Galletas_Fabricadas,Velocidad_Mediana,TARGET_Biscuits_per_hour,Eficiencia_Velocidad_%,Brecha_Velocidad
Bourbon Creams,78.71666666666665,3095198.0,38375.168696461864,51840,74.03,13464.831303538136
Chocolate cookies,74.06666666666665,2975726.0,39643.63636363637,43200,91.77,3556.3636363636324
Custard Creams,26.549999999999994,1033145.0,38022.801263786765,51840,73.35,13817.198736213235
Jammy Creams,39.033333333333324,1389663.0,37281.35533822925,51840,71.92,14558.644661770748
Milk Cookies,15.03333333333333,601961.0,38394.64223009255,51840,74.06,13445.357769907452
Pink Wafers,0.183333333333333,6006.0,33655.0448464702,51840,64.92,18184.9551535298
